IATA,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/25,12.97,,0,52,59,48,290,280,25.1,30,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/26,10.29,,0,55,66,48,280,290,21,27.1,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/27,10.07,,0.14,56,65,50,210,210,36,52.1,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/28,10.29,,0,57,63,52,280,260,21.9,29.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/29,14.32,,0,54,57,52,280,290,25.9,35.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/30,16.33,,0,53,58,50,270,280,29.1,38.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/3/31,8.5,,0,54,63,48,290,290,23,31.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/1,10.07,,0,54,67,47,280,290,31.1,36,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/2,9.17,,0,56,73,48,280,290,23.9,31.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/3,17.45,,0,57,63,49,280,280,40,51,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/4,22.82,,0,55,64,51,280,280,33.1,42.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/5,13.87,,0,56,67,50,290,290,28,32,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/6,5.82,,0,59,83,49,290,300,19.9,23.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/7,5.37,,0,67,89,56,300,300,16.1,19.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/8,18.12,,0,67,69,51,280,280,38,47,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/9,16.11,,0,56,65,49,280,290,32,38.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/10,22.15,,0,56,63,50,290,300,40,57.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/11,23.04,,0.12,53,57,47,290,300,42.9,59.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/12,18.57,,0,51,58,46,290,300,35.1,53,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/13,8.28,,0,52,61,45,280,280,19.9,25.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/14,9.4,,0.02,55,61,50,250,250,19.9,27.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/15,8.72,,0,55,64,47,280,280,21.9,25.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/16,14.76,,0.4,57,62,47,200,180,30,44.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/17,11.86,,0,52,59,46,280,290,23.9,31.1,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/18,8.72,,0,53,68,45,200,200,21,28,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/19,9.17,,0.09,59,65,52,270,280,21,25.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/20,13.42,,0.17,58,68,52,210,210,31.1,46.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/21,11.63,,0.17,59,64,54,270,280,28,38.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/22,14.09,,0,57,62,51,280,290,25.1,32,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/23,13.2,,0,57,70,51,290,290,25.9,32,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/24,13.87,,0,57,67,51,280,280,28,33.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/25,13.65,,0,57,68,50,280,260,32,40.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/26,24.16,,0,56,62,50,290,300,36,57.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/27,20.36,,0,54,60,50,270,270,33.1,42.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/28,21.03,,0,54,60,50,280,300,36.9,55.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/29,12.08,,0,55,66,47,280,280,28,35.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/4/30,19.91,,0,56,64,51,280,300,31.1,40.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/1,15.88,,0,56,67,49,280,280,31.1,38.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/2,20.8,,0,56,62,51,280,290,36.9,46.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/3,13.2,,0,58,71,48,290,280,23.9,31.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/4,11.86,,0,59,72,50,300,300,29.1,35.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/5,10.51,,0,56,65,51,280,270,23,28,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/6,9.17,,0,61,70,56,280,280,21.9,29.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/7,22.82,,0,59,63,51,290,300,42.9,57.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/8,19.69,,0,55,61,50,280,300,35.1,55,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/9,11.41,,0,54,61,48,290,280,23,31.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/10,16.78,,0,54,60,49,280,300,31.1,45,,,,,
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/11,16.55,,0,54,62,47,280,290,33.1,44.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/12,18.34,,0,55,64,50,290,290,25.9,40.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/13,16.78,,0,58,69,53,280,280,32,40,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/14,14.54,,0,59,71,52,290,290,30,40,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/15,22.82,,0,58,64,52,270,270,38,45,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/16,19.91,,0,58,63,55,270,270,33.1,44.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/17,18.34,,0,57,66,51,280,280,32,42.1,,,,,1
